"id","owner","title","dateupload","ownername","tags","latitude","longitude","place_id","url_m","date_entered"
"42195241764","48627921@N05","DSC_3156",1529473398,"Jocey K","NULL",-43.52998,172.63663,"rtRp0t5TWrxL11nEkw","https://farm2.staticflickr.com/1830/42195241764_7e46cd4611.jpg",1529473872
"29041039268","142726132@N02","Pont du Gard",1529473506,"hervétherry","france occitanie languedocroussillon gard verspontdugard canon eos 7d efs 1022 pont aqueduc romain monument historique gardon rivière paysage",43.947666,4.533308,"l6qp_T9XULkbczU","https://farm1.staticflickr.com/884/29041039268_d938563765.jpg",1529473872
"29041039028","48627921@N05","DSC_3155",1529473389,"Jocey K","NULL",-43.52998,172.63663,"rtRp0t5TWrxL11nEkw","https://farm2.staticflickr.com/1786/29041039028_ee8d42f96b.jpg",1529473872
"41103500560","48627921@N05","DSC_3154",1529473379,"Jocey K","NULL",-43.52939,172.63785,"6Iq7akZYU756Or2.4A","https://farm1.staticflickr.com/891/41103500560_093f6efa2d.jpg",1529473872
"42913542021","48627921@N05","DSC_3153",1529473363,"Jocey K","NULL",-43.529793,172.63774,"rtRp0t5TWrxL11nEkw","https://farm2.staticflickr.com/1782/42913542021_5419376c70.jpg",1529473872
"42865044392","48627921@N05","DSC_3161",1529473351,"Jocey K","NULL",-43.528675,172.63681,"6Iq7akZYU756Or2.4A","https://farm2.staticflickr.com/1765/42865044392_6ebb814f7f.jpg",1529473872
"42913538581","127779531@N03","Sonngesangweg im Klostergarten: Station  ""Mutter Erde"" - Sunday singing way: Station ""Mother Earth"" in the Monastery Garden",1529473470,"warata","2018 deutschland germany süddeutschland southerngermany schwaben swabia oberschwaben upperswabia schwäbischesoberland badenwürttemberg badenwuerttemberg blüte blume pflanze bonlanden kloster klostergarten sonnengesangweg muttererde motherearth „ sony dschx400v“ flowers",48.069054,10.065455,"EXf8_BRTUrt1JnNcsg","https://farm2.staticflickr.com/1804/42913538581_eab486dbae.jpg",1529473872
"42195229974","127779531@N03","Sonngesangweg im Klostergarten: Station  ""Mutter Erde"" - Sunday singing way: Station ""Mother Earth"" in the Monastery Garden",1529473471,"warata","2018 deutschland germany süddeutschland southerngermany schwaben swabia oberschwaben upperswabia schwäbischesoberland badenwürttemberg badenwuerttemberg blüte blume pflanze bonlanden kloster klostergarten sonnengesangweg muttererde motherearth „ sony dschx400v“ flowers",48.069492,10.065341,"EXf8_BRTUrt1JnNcsg","https://farm2.staticflickr.com/1781/42195229974_3fbcf83851.jpg",1529473872
"42913534771","76670355@N04","gramophone",1529473335,"christian mu","flowers bokeh nature botanicalgarden botanischergarten germany münster muenster schlossgarten 9028g 9028 90mm macro christianmu sony sonya7riii sonya7rm3",51.963757,7.610263,"HnUgJdVTW7k6r3qnIQ","https://farm1.staticflickr.com/879/42913534771_f102da1e0d.jpg",1529473872
"29041020978","79949256@N02","down",1529473297,"Geonaut","ubahn metro lisboa lissabon portugal station rolltreppe baixa",38.710747,-9.138925,"D08qJBRWVrjs0Ek","https://farm2.staticflickr.com/1725/29041020978_60bf0f5f69.jpg",1529473872
"42913523691","14813921@N05","Landungsbrücken, Hamburg",1529473274,"S-Antibes","NULL",53.54477,9.967836,"4c0e26BTVLIEY0in4w","https://farm2.staticflickr.com/1821/42913523691_c429fe5afa.jpg",1529473872
"42195214974","39578329@N04","NULL",1529473237,"anyurtan","NULL",50.0904,87.77382,"lhkNF0FTUrlXOBCL","https://farm2.staticflickr.com/1782/42195214974_33db0b8d3b.jpg",1529473872
"41103477350","12301476@N08","20180620_中品日本料理",1529473212,"violin6918","violin6918 taiwan taoyuan longtan apple iphoto7plus i7 mobile restaurant food foodphotography 中品日本料理 noodles",24.8509,121.22725,"2xchrlxTWr3ohM6WQA","https://farm1.staticflickr.com/900/41103477350_d36d2bc30b.jpg",1529473872
"41103477340","12301476@N08","20180620_中品日本料理",1529473212,"violin6918","violin6918 taiwan taoyuan longtan apple iphoto7plus i7 mobile restaurant food foodphotography 中品日本料理 noodles",24.850897,121.227264,"2xchrlxTWr3ohM6WQA","https://farm1.staticflickr.com/876/41103477340_706856cb2a.jpg",1529473872
"42865017872","12301476@N08","20180620_中品日本料理",1529473208,"violin6918","violin6918 taiwan taoyuan longtan apple iphoto7plus i7 mobile restaurant food foodphotography 中品日本料理 noodles",24.8509,121.22725,"2xchrlxTWr3ohM6WQA","https://farm1.staticflickr.com/891/42865017872_149e844246.jpg",1529473872
